Time,sankodau_play,sankodau_users
2023-11-28 00:00:00.000 UTC,1,1
2023-11-27 00:00:00.000 UTC,18,5
2023-11-26 00:00:00.000 UTC,80,5
2023-11-25 00:00:00.000 UTC,3,1
2023-11-24 00:00:00.000 UTC,3,2
2023-11-23 00:00:00.000 UTC,32,4
2023-11-22 00:00:00.000 UTC,4,3
2023-11-21 00:00:00.000 UTC,1,1
2023-11-20 00:00:00.000 UTC,1,1
2023-11-19 00:00:00.000 UTC,1,1
2023-11-17 00:00:00.000 UTC,1,1
2023-11-13 00:00:00.000 UTC,11,2
2023-11-09 00:00:00.000 UTC,1,1
2023-11-08 00:00:00.000 UTC,2,1
2023-11-07 00:00:00.000 UTC,11,3
2023-11-06 00:00:00.000 UTC,14,5
2023-11-05 00:00:00.000 UTC,17,6
2023-11-04 00:00:00.000 UTC,3,2
2023-11-03 00:00:00.000 UTC,1,1
2023-11-02 00:00:00.000 UTC,6,5
2023-11-01 00:00:00.000 UTC,2,2
2023-10-31 00:00:00.000 UTC,23,9
2023-10-30 00:00:00.000 UTC,19,6
2023-10-29 00:00:00.000 UTC,13,4
2023-10-27 00:00:00.000 UTC,11,5
2023-10-26 00:00:00.000 UTC,27,7
2023-10-25 00:00:00.000 UTC,1,1
2023-10-24 00:00:00.000 UTC,6,3
2023-10-23 00:00:00.000 UTC,49,6
2023-10-22 00:00:00.000 UTC,5,5
2023-10-21 00:00:00.000 UTC,34,4
2023-10-20 00:00:00.000 UTC,6,5
2023-10-19 00:00:00.000 UTC,37,7
2023-10-18 00:00:00.000 UTC,15,4
2023-10-17 00:00:00.000 UTC,13,6
2023-10-16 00:00:00.000 UTC,8,2
2023-10-15 00:00:00.000 UTC,17,6
2023-10-12 00:00:00.000 UTC,2,2
2023-10-11 00:00:00.000 UTC,2,2
2023-10-10 00:00:00.000 UTC,3,3
2023-10-09 00:00:00.000 UTC,25,4
2023-10-08 00:00:00.000 UTC,34,6
2023-10-07 00:00:00.000 UTC,14,4
2023-10-06 00:00:00.000 UTC,21,3
2023-10-05 00:00:00.000 UTC,26,8
2023-10-04 00:00:00.000 UTC,29,6
2023-10-03 00:00:00.000 UTC,52,7
2023-10-02 00:00:00.000 UTC,129,10
2023-10-01 00:00:00.000 UTC,24,5
2023-09-30 00:00:00.000 UTC,21,4
2023-09-29 00:00:00.000 UTC,72,7
2023-09-28 00:00:00.000 UTC,109,10
2023-09-27 00:00:00.000 UTC,126,12
2023-09-26 00:00:00.000 UTC,58,9
2023-09-25 00:00:00.000 UTC,96,10
2023-09-24 00:00:00.000 UTC,107,10
2023-09-23 00:00:00.000 UTC,13,5
2023-09-22 00:00:00.000 UTC,38,4
2023-09-21 00:00:00.000 UTC,130,11
2023-09-20 00:00:00.000 UTC,137,9
2023-09-19 00:00:00.000 UTC,69,8
2023-09-18 00:00:00.000 UTC,109,9
2023-09-17 00:00:00.000 UTC,87,10
2023-09-16 00:00:00.000 UTC,162,11
2023-09-15 00:00:00.000 UTC,110,8
2023-09-14 00:00:00.000 UTC,67,8
2023-09-13 00:00:00.000 UTC,67,8
2023-09-12 00:00:00.000 UTC,70,13
2023-09-11 00:00:00.000 UTC,31,7
2023-09-10 00:00:00.000 UTC,2,2
2023-09-09 00:00:00.000 UTC,11,8
2023-09-08 00:00:00.000 UTC,29,7
2023-09-07 00:00:00.000 UTC,72,12
2023-09-06 00:00:00.000 UTC,119,14
2023-09-05 00:00:00.000 UTC,148,12
2023-09-04 00:00:00.000 UTC,170,12
2023-09-03 00:00:00.000 UTC,86,9
2023-09-02 00:00:00.000 UTC,29,8
2023-09-01 00:00:00.000 UTC,6,3
2023-08-31 00:00:00.000 UTC,16,5
2023-08-30 00:00:00.000 UTC,9,5
2023-08-29 00:00:00.000 UTC,15,4
2023-08-28 00:00:00.000 UTC,21,6
2023-08-27 00:00:00.000 UTC,4,1
2023-08-26 00:00:00.000 UTC,10,4
2023-08-25 00:00:00.000 UTC,2,2
2023-08-24 00:00:00.000 UTC,2,2
2023-08-23 00:00:00.000 UTC,39,12
2023-08-22 00:00:00.000 UTC,17,7
2023-08-21 00:00:00.000 UTC,9,6
2023-08-20 00:00:00.000 UTC,5,3
2023-08-19 00:00:00.000 UTC,6,4
2023-08-18 00:00:00.000 UTC,15,10
2023-08-17 00:00:00.000 UTC,15,8
2023-08-16 00:00:00.000 UTC,31,16
2023-08-15 00:00:00.000 UTC,22,7
2023-08-14 00:00:00.000 UTC,31,11
2023-08-13 00:00:00.000 UTC,20,10
2023-08-12 00:00:00.000 UTC,24,12
2023-08-11 00:00:00.000 UTC,27,8
2023-08-10 00:00:00.000 UTC,41,9
2023-08-09 00:00:00.000 UTC,41,14
2023-08-08 00:00:00.000 UTC,14,7
2023-08-07 00:00:00.000 UTC,11,7
2023-08-06 00:00:00.000 UTC,6,5
2023-08-04 00:00:00.000 UTC,11,9
2023-08-03 00:00:00.000 UTC,86,11
2023-08-02 00:00:00.000 UTC,16,8
2023-08-01 00:00:00.000 UTC,30,9
2023-07-31 00:00:00.000 UTC,8,6
2023-07-30 00:00:00.000 UTC,9,5
2023-07-29 00:00:00.000 UTC,29,11
2023-07-28 00:00:00.000 UTC,18,14
2023-07-27 00:00:00.000 UTC,12,8
2023-07-26 00:00:00.000 UTC,10,7
2023-07-25 00:00:00.000 UTC,14,9
2023-07-24 00:00:00.000 UTC,38,7
2023-07-23 00:00:00.000 UTC,38,14
2023-07-22 00:00:00.000 UTC,73,12
2023-07-21 00:00:00.000 UTC,38,15
2023-07-20 00:00:00.000 UTC,48,20
2023-07-19 00:00:00.000 UTC,26,14
2023-07-18 00:00:00.000 UTC,48,16
2023-07-17 00:00:00.000 UTC,52,19
2023-07-16 00:00:00.000 UTC,50,12
2023-07-15 00:00:00.000 UTC,50,17
2023-07-14 00:00:00.000 UTC,96,20
2023-07-13 00:00:00.000 UTC,71,16
2023-07-12 00:00:00.000 UTC,70,26
2023-07-11 00:00:00.000 UTC,29,8
2023-07-10 00:00:00.000 UTC,46,14
2023-07-09 00:00:00.000 UTC,28,11
2023-07-08 00:00:00.000 UTC,17,8
2023-07-07 00:00:00.000 UTC,51,19
2023-07-06 00:00:00.000 UTC,35,15
2023-07-05 00:00:00.000 UTC,30,19
2023-07-04 00:00:00.000 UTC,21,10
2023-07-03 00:00:00.000 UTC,12,6
2023-07-02 00:00:00.000 UTC,2,2
2023-07-01 00:00:00.000 UTC,25,9
2023-06-30 00:00:00.000 UTC,94,13
2023-06-29 00:00:00.000 UTC,37,13
2023-06-28 00:00:00.000 UTC,46,18
2023-06-27 00:00:00.000 UTC,63,24
2023-06-26 00:00:00.000 UTC,27,14
2023-06-25 00:00:00.000 UTC,26,12
2023-06-24 00:00:00.000 UTC,73,15
2023-06-23 00:00:00.000 UTC,33,17
2023-06-22 00:00:00.000 UTC,28,9
2023-06-21 00:00:00.000 UTC,20,7
2023-06-20 00:00:00.000 UTC,21,9
2023-06-19 00:00:00.000 UTC,28,8
2023-06-18 00:00:00.000 UTC,16,4
2023-06-17 00:00:00.000 UTC,18,10
2023-06-16 00:00:00.000 UTC,19,9
2023-06-15 00:00:00.000 UTC,23,7
2023-06-14 00:00:00.000 UTC,63,10
2023-06-13 00:00:00.000 UTC,43,14
2023-06-12 00:00:00.000 UTC,74,12
2023-06-11 00:00:00.000 UTC,39,14
2023-06-10 00:00:00.000 UTC,17,6
2023-06-09 00:00:00.000 UTC,58,13
2023-06-08 00:00:00.000 UTC,48,13
2023-06-07 00:00:00.000 UTC,52,14
2023-06-06 00:00:00.000 UTC,84,16
2023-06-05 00:00:00.000 UTC,101,19
2023-06-04 00:00:00.000 UTC,74,17
2023-06-03 00:00:00.000 UTC,89,23
2023-06-02 00:00:00.000 UTC,97,22
2023-06-01 00:00:00.000 UTC,48,23
2023-05-31 00:00:00.000 UTC,186,22
2023-05-30 00:00:00.000 UTC,117,30
2023-05-29 00:00:00.000 UTC,120,27
2023-05-28 00:00:00.000 UTC,95,25
2023-05-27 00:00:00.000 UTC,87,29
2023-05-26 00:00:00.000 UTC,199,37
2023-05-25 00:00:00.000 UTC,186,52
2023-05-24 00:00:00.000 UTC,134,48
