Time,sankotvdau_users
2023-12-03 00:00:00.000 UTC,553
2023-12-02 00:00:00.000 UTC,256
2023-12-01 00:00:00.000 UTC,365
2023-11-30 00:00:00.000 UTC,456
2023-11-29 00:00:00.000 UTC,517
2023-11-28 00:00:00.000 UTC,430
2023-11-27 00:00:00.000 UTC,407
2023-11-26 00:00:00.000 UTC,450
2023-11-25 00:00:00.000 UTC,323
2023-11-24 00:00:00.000 UTC,535
2023-11-23 00:00:00.000 UTC,516
2023-11-22 00:00:00.000 UTC,476
2023-11-21 00:00:00.000 UTC,399
2023-11-20 00:00:00.000 UTC,352
2023-11-19 00:00:00.000 UTC,265
2023-11-18 00:00:00.000 UTC,249
2023-11-17 00:00:00.000 UTC,204
2023-11-16 00:00:00.000 UTC,298
2023-11-15 00:00:00.000 UTC,360
2023-11-14 00:00:00.000 UTC,296
2023-11-13 00:00:00.000 UTC,245
2023-11-12 00:00:00.000 UTC,292
2023-11-11 00:00:00.000 UTC,215
2023-11-10 00:00:00.000 UTC,320
2023-11-09 00:00:00.000 UTC,326
2023-11-08 00:00:00.000 UTC,243
2023-11-07 00:00:00.000 UTC,333
2023-11-06 00:00:00.000 UTC,533
2023-11-05 00:00:00.000 UTC,570
2023-11-04 00:00:00.000 UTC,745
2023-11-03 00:00:00.000 UTC,1204
2023-11-02 00:00:00.000 UTC,4349
2023-11-01 00:00:00.000 UTC,2374
2023-10-31 00:00:00.000 UTC,788
